"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 03- 23","201.87","200.80","206.66","198.67","210.30M","-5.52%"
"2020- 03- 20","213.67","204.84","214.08","200.54","269.35M","7.22%"
"2020- 03- 19","199.28","220.72","220.85","196.27","303.56M","-7.67%"
"2020- 03- 18","215.83","228.63","230.04","215.81","208.04M","-4.87%"
"2020- 03- 17","226.89","222.94","234.56","222.46","216.73M","-2.61%"
"2020- 03- 16","232.97","245.21","245.21","232.76","175.05M","-3.19%"
"2020- 03- 13","240.65","231.71","246.19","227.36","298.90M","-2.81%"
"2020- 03- 12","247.62","253.93","255.49","243.76","242.47M","-3.65%"
"2020- 03- 11","257.01","264.63","265.04","255.69","194.21M","-2.89%"
"2020- 03- 10","264.67","261.94","265.57","260.75","173.09M","0.59%"
"2020- 03- 09","263.11","266.39","267.75","261.76","182.67M","-4.36%"
"2020- 03- 06","275.10","276.74","278.31","274.00","140.90M","-2.23%"
"2020- 03- 05","281.38","280.66","282.05","277.91","147.44M","1.17%"
"2020- 03- 04","278.13","270.13","278.90","270.13","208.46M","2.42%"
"2020- 03- 03","271.56","277.44","277.54","270.79","146.72M","0.44%"
"2020- 03- 02","270.37","269.59","272.60","265.70","163.72M","0.88%"
"2020- 02- 28","268.02","272.33","273.98","267.23","202.61M","-3.27%"
"2020- 02- 27","277.09","279.46","281.09","276.07","110.50M","-1.02%"
"2020- 02- 26","279.94","278.45","281.98","277.68","119.55M","-1.51%"
"2020- 02- 25","284.24","280.48","284.63","279.77","117.03M","1.15%"
"2020- 02- 24","281.02","285.51","286.62","281.02","132.82M","-3.90%"
"2020- 02- 21","292.42","292.16","295.24","291.96","100.71M","-1.43%"
"2020- 02- 20","296.65","300.34","301.35","295.01","90.01M","-0.56%"
"2020- 02- 19","298.33","299.68","300.38","295.53","84.26M","0.20%"
"2020- 02- 18","297.74","300.26","301.29","297.20","84.75M","-1.66%"
"2020- 02- 17","302.76","302.84","304.05","300.99","84.28M","-0.08%"
"2020- 02- 14","303.01","300.95","304.20","299.18","80.53M","0.69%"
"2020- 02- 13","300.93","302.79","304.43","300.48","115.07M","-0.20%"
"2020- 02- 12","301.54","299.83","302.20","298.09","110.63M","0.76%"
"2020- 02- 11","299.28","297.91","301.10","297.48","78.35M","1.03%"
"2020- 02- 10","296.24","294.07","296.73","293.33","72.22M","-0.66%"
"2020- 02- 07","298.21","299.59","300.05","296.01","108.11M","-0.81%"
"2020- 02- 06","300.65","294.74","300.98","294.32","110.22M","2.96%"
"2020- 02- 05","292.02","293.57","294.26","290.30","102.64M","0.46%"
"2020- 02- 04","290.68","285.19","291.38","285.11","105.45M","1.98%"
"2020- 02- 03","285.05","280.17","286.24","279.78","111.06M","0.18%"
"2020- 01- 31","284.53","290.24","291.47","284.53","101.46M","-1.33%"
"2020- 01- 30","288.37","293.27","294.11","287.09","101.54M","-1.91%"
"2020- 01- 29","293.98","294.38","295.67","292.45","85.73M","0.41%"
"2020- 01- 28","292.77","294.98","296.30","291.30","130.17M","-3.16%"
"2020- 01- 23","302.33","303.77","304.72","301.71","86.91M","-1.23%"
"2020- 01- 22","306.08","301.79","306.52","301.16","79.33M","1.31%"
"2020- 01- 21","302.11","304.94","306.09","301.85","67.63M","-1.14%"
"2020- 01- 20","305.58","304.99","307.54","304.77","78.04M","0.75%"
"2020- 01- 17","303.30","305.07","306.05","302.51","81.54M","0.17%"
"2020- 01- 16","302.78","299.93","302.91","298.95","85.71M","1.01%"
"2020- 01- 15","299.74","299.91","301.13","298.82","71.77M","-0.59%"
"2020- 01- 14","301.53","302.20","303.61","300.69","92.12M","0.47%"
"2020- 01- 13","300.13","296.62","300.31","296.53","81.68M","1.03%"
"2020- 01- 10","297.06","294.80","297.17","294.17","94.16M","0.90%"
"2020- 01- 09","294.41","293.83","294.41","292.10","111.79M","1.72%"
"2020- 01- 08","289.42","288.94","291.01","287.30","124.53M","-0.62%"
"2020- 01- 07","291.23","290.01","292.26","289.64","65.35M","0.97%"
"2020- 01- 06","288.43","287.73","289.41","287.49","69.96M","-0.79%"
"2020- 01- 03","290.74","293.10","294.88","289.04","79.77M","0.13%"
"2020- 01- 02","290.35","294.19","294.57","289.96","66.16M","-1.16%"
"2019- 12- 30","293.77","294.60","295.49","293.40","54.97M","-0.48%"
"2019- 12- 27","295.20","292.37","296.95","291.28","77.51M","0.39%"
"2019- 12- 26","294.06","293.12","294.07","291.79","68.48M","0.40%"
"2019- 12- 24","292.90","295.18","295.25","292.47","60.61M","-0.67%"
"2019- 12- 23","294.87","295.84","296.12","293.81","62.09M","-0.15%"
"2019- 12- 20","295.31","295.58","295.86","293.95","75.97M","0.34%"
